ФАЗА III: MATERIALISM
Часть 8: Система аффиксов (Префиксы и Суффиксы)
📋 ОБЗОР СИСТЕМЫ АФФИКСОВ
Философия магических предметов
Принцип	Описание	Референс
Генерация имён	Префикс + Базовый предмет + Суффикс	Diablo, Path of Exile
Редкость определяет количество	Больше аффиксов = реже	Diablo
Синергии	Некоторые аффиксы усиливают друг друга	Path of Exile
Проклятия	Мощные предметы могут иметь цену	CDDA, D&D
Уникальные предметы	Фиксированные легендарные эффекты	Diablo
Редкость и количество аффиксов
Редкость	Цвет	Префиксы	Суффиксы	Всего	Шанс дропа
Common (Обычный)	Белый	0	0	0	60%
Uncommon (Необычный)	Зелёный	0-1	0-1	1	25%
Rare (Редкий)	Синий	1	1	2	10%
Epic (Эпический)	Фиолетовый	1-2	1-2	3-4	4%
Legendary (Легендарный)	Оранжевый	2	2	4 + особый	0.9%
Artifact (Артефакт)	Красный/Золотой	Уникальные	Уникальные	Уникальные	0.1%
Формула генерации имени
text

[Префикс] + [Материал]* + [Базовое имя] + [Суффикс]

Примеры:
- "Пылающий Стальной Длинный меч Вампира"
- "Ледяной Мифриловый Топор Берсерка"  
- "Благословенная Кираса Защитника"
- "Отравленный Кинжал Теней"

* Материал опционален в названии
Тиры аффиксов
Тир	Название	Сила эффекта	Требуемый уровень предмета	Редкость аффикса
    "tier": 3,
    "rarity": "rare",
    
    "applicable_to": ["weapon_melee", "weapon_ranged"],
    "forbidden_on": ["weapon_unarmed"],
    
    "requirements": {
        "item_level_min": 25,
        "item_level_max": null,
        "material_required": null,
        "material_forbidden": ["mat_ice_crystal"]
    },
    
    "effects": [
        {
            "type": "damage_bonus",
            "damage_type": "fire",
            "dice": "1d6",
            "flat": 0
        },
        {
            "type": "visual",
            "effect": "flame_aura"
        }
    ],
    
    "special_on_crit": {
        "effect": "ignite",
        "damage": "1d6",
        "duration_rounds": 3,
        "save_dc": 13,
        "save_ability": "dex"
    },
    
    "conflicts_with": ["prefix_freezing", "prefix_cold"],
    "synergizes_with": ["suffix_fire_mastery"],
    "synergy_bonus": "+1d6 fire damage",
    
    "value_multiplier": 2.5,
    "weight_modifier": 0,
    
    "lore_key": "LORE_BLAZING_WEAPONS",
    
    "tags": ["fire", "elemental", "damage", "offensive"]
}
📋 JSON СХЕМА ПРОКЛЯТИЯ
JSON

{
    "id": "curse_binding",
    "name_key": "CURSE_BINDING_NAME",
    "desc_key": "CURSE_BINDING_DESC",
    
    "type": "curse",
    "severity": "moderate",
    
    "effects": [
        {
            "type": "prevent_unequip",
            "exception": "remove_curse"
        }
    ],
    
    "detection": {
        "identify_reveals": false,
        "legend_lore_reveals": true,
        "dc_to_sense": 20
    },
    
    "activation": {
        "trigger": "equip",
        "delay": null
    },
    
    "removal": {
        "spell": "remove_curse",
        "spell_dc": 15,
        "ritual_possible": true,
        "ritual_requirements": ["holy_water", "moonlight"]
    },
    
    "progression": {
        "worsens_over_time": false,
        "stages": null
    },
    
    "tags": ["binding", "moderate", "common_curse"]
}
📋 СИСТЕМА ГЕНЕРАЦИИ МАГИЧЕСКИХ ПРЕДМЕТОВ
Алгоритм генерации
text

1. Определить редкость (по таблице шансов)
2. Выбрать базовый предмет
3. Определить количество аффиксов по редкости
4. Для каждого слота аффикса:
   a. Выбрать пул подходящих аффиксов (по типу предмета, уровню)
   b. Исключить конфликтующие с уже выбранными
   c. Взвешенный случайный выбор
5. Проверить синергии, применить бонусы
6. Рассчитать итоговую стоимость
7. 5% шанс проклятия для Rare+
8. Сгенерировать имя
Формула стоимости
text

base_price = item_base_value × material_modifier × quality_modifier

affix_price = Σ(affix_value × affix_tier_multiplier)

total_price = base_price + affix_price + enchantment_cost

Rarity multiplier:
- Common: ×1
- Uncommon: ×2
- Rare: ×5
- Epic: ×15
- Legendary: ×50
- Artifact: Бесценно
📋 ЧЕКЛИСТ ЧАСТИ 8
Префиксы оружия (55)
 Стихийные (20: огонь, холод, молния, кислота × 5 тиров)
 Божественные и тёмные (10)
 Физические (15)
 Особые эффекты (10)
 Bane (против врагов) (10)
Суффиксы оружия (55)
 Характеристики (20)
 Классы и стили (10)
 Состояния (12)
 Ресурсы (6)
 Защита (7)
 Навыки (5)
Префиксы брони (45)
 Стихийная защита (16)
 Физическая защита (12)
 Магическая защита (8)
 Особые свойства (7)
Суффиксы брони (45)
 Характеристики (12)
 HP и регенерация (9)
 Спасброски (8)
 Классы (10)
 Мобильность (8)
Легендарные предметы (25)
 Легендарное оружие (15)
 Легендарная броня (10)
Проклятые предметы (22)
 Типы проклятий (12)
 Примеры предметов (10)
